,ibns_20u,vgs_m1,name,type,time,OK
0,20.5156,0.7579687,tran_LayGtKfsTlVh,Lay,Fri Jan 24 16:26:29 2025,False
1,20.70663,0.685388,tran_LayGtKsfTlVh,Lay,Fri Jan 24 16:26:22 2025,True
2,20.6849,0.6953347,tran_LayGtKffTlVh,Lay,Fri Jan 24 16:26:18 2025,True
3,20.53754,0.7480513,tran_LayGtKssTlVh,Lay,Fri Jan 24 16:26:16 2025,False
4,20.57227,0.6838284,tran_LayGtKfsThVh,Lay,Fri Jan 24 16:26:11 2025,True
5,20.758319999999998,0.6037314,tran_LayGtKsfThVh,Lay,Fri Jan 24 16:26:07 2025,True
6,20.73966,0.61373,tran_LayGtKffThVh,Lay,Fri Jan 24 16:26:02 2025,True
7,20.5921,0.6738161,tran_LayGtKssThVh,Lay,Fri Jan 24 16:25:58 2025,True
8,20.5156,0.7579687,tran_LayGtKfsTlVl,Lay,Fri Jan 24 16:25:53 2025,False
9,20.70663,0.685388,tran_LayGtKsfTlVl,Lay,Fri Jan 24 16:25:48 2025,True
10,20.6849,0.6953347,tran_LayGtKffTlVl,Lay,Fri Jan 24 16:25:46 2025,True
11,20.53754,0.7480513,tran_LayGtKssTlVl,Lay,Fri Jan 24 16:25:42 2025,False
12,20.57227,0.6838284,tran_LayGtKfsThVl,Lay,Fri Jan 24 16:25:37 2025,True
13,20.758319999999998,0.6037314,tran_LayGtKsfThVl,Lay,Fri Jan 24 16:25:32 2025,True
14,20.73966,0.61373,tran_LayGtKffThVl,Lay,Fri Jan 24 16:25:27 2025,True
15,20.5921,0.6738161,tran_LayGtKssThVl,Lay,Fri Jan 24 16:25:22 2025,True
