,ibns_20u,vgs_m1,name,type,time,OK
0,19.858439999999998,0.6825601,tran_SchGtKttmmTtVt_29,Sch,Thu Jan 23 13:53:15 2025,True
1,23.09325,0.6923698,tran_SchGtKttmmTtVt_28,Sch,Thu Jan 23 13:53:14 2025,True
2,18.99012,0.6820443,tran_SchGtKttmmTtVt_27,Sch,Thu Jan 23 13:53:14 2025,True
3,20.05911,0.6834856,tran_SchGtKttmmTtVt_26,Sch,Thu Jan 23 13:53:14 2025,True
4,18.70236,0.6797969,tran_SchGtKttmmTtVt_25,Sch,Thu Jan 23 13:53:13 2025,True
5,20.119059999999998,0.6862664,tran_SchGtKttmmTtVt_24,Sch,Thu Jan 23 13:53:13 2025,True
6,20.77552,0.6859671,tran_SchGtKttmmTtVt_23,Sch,Thu Jan 23 13:53:13 2025,True
7,21.35308,0.6868717,tran_SchGtKttmmTtVt_22,Sch,Thu Jan 23 13:53:12 2025,True
8,19.83555,0.685872,tran_SchGtKttmmTtVt_21,Sch,Thu Jan 23 13:53:12 2025,True
9,20.989289999999997,0.6872449,tran_SchGtKttmmTtVt_20,Sch,Thu Jan 23 13:53:12 2025,True
10,19.65431,0.6846092,tran_SchGtKttmmTtVt_19,Sch,Thu Jan 23 13:53:11 2025,True
11,20.26856,0.6853161,tran_SchGtKttmmTtVt_18,Sch,Thu Jan 23 13:53:11 2025,True
12,20.23256,0.6862865,tran_SchGtKttmmTtVt_17,Sch,Thu Jan 23 13:53:11 2025,True
13,19.28191,0.6790787,tran_SchGtKttmmTtVt_16,Sch,Thu Jan 23 13:53:10 2025,True
14,20.501810000000003,0.685493,tran_SchGtKttmmTtVt_15,Sch,Thu Jan 23 13:53:10 2025,True
15,20.18043,0.6850389,tran_SchGtKttmmTtVt_14,Sch,Thu Jan 23 13:53:10 2025,True
16,20.66379,0.6820754,tran_SchGtKttmmTtVt_13,Sch,Thu Jan 23 13:53:09 2025,True
17,20.48166,0.6843936,tran_SchGtKttmmTtVt_12,Sch,Thu Jan 23 13:53:09 2025,True
18,19.03378,0.6808418,tran_SchGtKttmmTtVt_11,Sch,Thu Jan 23 13:53:09 2025,True
19,20.33018,0.685706,tran_SchGtKttmmTtVt_10,Sch,Thu Jan 23 13:53:09 2025,True
20,20.1058,0.686064,tran_SchGtKttmmTtVt_9,Sch,Thu Jan 23 13:53:08 2025,True
21,20.97529,0.6875549,tran_SchGtKttmmTtVt_8,Sch,Thu Jan 23 13:53:08 2025,True
22,20.81601,0.6882162,tran_SchGtKttmmTtVt_7,Sch,Thu Jan 23 13:53:08 2025,True
23,19.92296,0.6836657,tran_SchGtKttmmTtVt_6,Sch,Thu Jan 23 13:53:07 2025,True
24,20.79122,0.6867429,tran_SchGtKttmmTtVt_5,Sch,Thu Jan 23 13:53:07 2025,True
25,21.50224,0.6921569,tran_SchGtKttmmTtVt_4,Sch,Thu Jan 23 13:53:07 2025,True
26,19.243009999999998,0.6793728,tran_SchGtKttmmTtVt_3,Sch,Thu Jan 23 13:53:06 2025,True
27,22.14346,0.6888765,tran_SchGtKttmmTtVt_2,Sch,Thu Jan 23 13:53:06 2025,True
28,20.92762,0.6866582,tran_SchGtKttmmTtVt_1,Sch,Thu Jan 23 13:53:05 2025,True
29,21.57265,0.6891191,tran_SchGtKttmmTtVt,Sch,Thu Jan 23 13:53:05 2025,True
